id,path
22118,1 8 82 5 6 10 9 11
44247,14 8 49 63 53 24 25 34 20 9 11
1137,14 8 49 51 5 33 24 24 25 34 9 11
44559,14 8 17 49 61 75 42 43 34 50 9 11
55275,14 8 17 35 53 54 25 43 36 50 9 11
33567,14 8 33 34 47 6 7
37181,1 8 15 104 15 16 9 11
38064,1 8 17 33 24 25 34 52 9 11
36861,70 42 24 25 25 43 62 113 9 4
213,14 8 33 34 47 6 11
29148,14 8 17 82 61 42 43 34 9 11
45472,14 2 24 25 43 25 29
44558,14 8 17 49 61 75 42 43 34 50 9 4
16962,12 5 42 70 42 24 58 24 25 29 7
36862,70 42 24 25 25 43 62 113 9 11
38063,1 8 17 33 24 25 34 52 9 4
29059,1 8 17 21 5 6 18 9 4
10396,14 8 73 53 54 25 43 38 9 11
29147,14 8 17 82 61 42 43 34 9 4
28094,1 2 24 25 97 25 6 10 9 4
1176,28 24 42 24 42 24 24 25 43 66 9 4
10399,14 8 73 53 54 25 43 38 9 4
29058,1 8 17 21 5 6 18 9 11
6179,14 8 15 33 53 54 62 9 4
20204,1 8 49 65 42 24 58 24 42 43 67 25 55 9 11
37182,1 8 15 104 15 16 9 4
6180,14 8 15 33 53 54 62 9 11
15084,12 5 24 42 43 67 25 43 36 7
7939,1 8 49 35 42 43 34 18 7
1177,28 24 42 24 42 24 24 25 43 66 9 11
48636,14 8 82 33 24 53 24 25 29
50427,1 8 49 85 24 25 25 3 4
45657,14 8 49 78 24 42 24 58 24 25 29 16 7
2565,14 8 37 42 43 67 25 43 76 81 9 11
30130,1 8 104 49 33 24 25 88 105 9 4
33757,1 5 33 24 25 43 66 90 7
28723,1 8 13 5 24 25 59 62 84 9 11
7653,1 8 35 53 54 25 64 7
59226,12 21 15 5 70 42 24 42 43 67 43 66 9 11
59225,12 21 15 5 70 42 24 42 43 67 43 66 9 4
28724,1 8 13 5 24 25 59 62 84 9 4
59018,14 8 49 35 53 54 25 43 66 50 50 9 4
62290,14 8 19 20 22 18 7
2564,14 8 37 42 43 67 25 43 76 81 9 4
39029,1 5 46 33 24 25 50 50 9 4
49784,24 53 24 24 25 34 50 9 11
1112,12 77 24 24 42 43 67 25 43 40 76 38 9 4
30410,14 8 104 86 58 59 43 66 113 105 9 11
30409,14 8 104 86 58 59 43 66 113 105 9 4
49785,24 53 24 24 25 34 50 9 4
44263,14 8 33 34 47 9 4
39028,1 5 46 33 24 25 50 50 9 11
