File,Match 1,Probability,Match 2,Probability,Match 3,Probability
a102_2.c,a105_1.c,0.9422981280576502,a102_1.c,0.9422977758713768,n_302_1.c,0.12364377563046909
a105_1.c,a102_1.c,0.9999939734814753,a105_1.c,0.9422981280576502,n_302_1.c,0.13147615547890656
a102_1.c,a102_1.c,0.9999939734814753,a102_1.c,0.9422977758713768,n_301_1.c,0.13147661216711706
n_302_1.c,n_301_1.c,0.9999939735657678,n_302_1.c,0.13147615547890656,n_302_1.c,0.13147615547890656
n_301_1.c,n_301_1.c,0.9999939735657678,n_301_1.c,0.13147661216711706,n_301_1.c,0.13147615547890656
